,label,f1_elo,f2_elo,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_str_landed,f1_avg_td_comp,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_str_landed,f2_avg_td_comp,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f2_win_rate,f2_finish_rate
972,1,1655.3701012056017,1410.0254749254568,0.25,5.75,13.25,1.75,2.25,110.5,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
973,1,1500.0,1420.0,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0
974,1,1500.0,1548.2449260273577,,,,,,,0.2,12.0,13.2,0.2,0.0,6.8,,,0.6,0.0
975,1,1500.0,1560.2694871772076,,,,,,,0.0,5.0,45.0,1.0,0.0,132.0,,,1.0,1.0
976,1,1605.549030397499,1372.850811074028,0.5,21.666666666666668,29.833333333333332,0.5,1.1666666666666667,68.33333333333333,0.0,6.5,10.0,0.0,0.5,20.0,0.6666666666666666,0.5,0.0,0.0
977,1,1500.0,1597.7034858516274,,,,,,,0.0,31.0,32.0,0.0,0.0,67.0,,,1.0,1.0
978,1,1782.9433654749926,1665.70944837137,0.42857142857142855,35.285714285714285,52.857142857142854,1.2857142857142858,0.5714285714285714,129.0,0.0,16.454545454545453,36.0,0.8181818181818182,0.18181818181818182,91.9090909090909,0.8571428571428571,0.0,0.7272727272727273,0.09090909090909091
979,1,1508.782040006301,1647.4748592851647,0.25,42.625,52.25,0.125,0.0,9.75,0.0,18.285714285714285,34.42857142857143,0.5714285714285714,0.0,84.14285714285714,0.625,0.0,0.7142857142857143,0.14285714285714285
980,1,1467.9632670940641,1579.0694315921453,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.5,23.25,2.0,0.25,145.75,0.0,0.0,0.5,0.25
981,1,1526.5205404623805,1496.0959494509714,0.16666666666666666,18.083333333333332,59.833333333333336,0.5833333333333334,1.6666666666666667,80.16666666666667,0.25,35.0,69.5,2.0,1.0,176.0,0.3333333333333333,0.25,0.5,0.0
982,1,1754.543219403962,1551.6038582686454,0.375,20.625,43.5,1.0,0.875,122.5,0.0,43.0,149.0,1.0,3.0,82.0,0.75,0.375,1.0,0.0
983,1,1584.5935672645949,1534.513638353187,1.5,12.0,19.0,0.5,0.0,33.0,0.0,6.0,12.5,1.0,1.0,11.0,0.5,0.0,0.5,0.0
984,1,1443.0485756365401,1417.6396758109113,0.0,20.0,39.0,2.0,1.0,182.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985,1,1500.0,1500.0,,,,,,,,,,,,,,,,
986,1,1495.8005603213926,1480.6971802788798,0.3333333333333333,15.333333333333334,22.0,0.0,1.3333333333333333,25.666666666666668,0.0,39.4,49.4,1.2,0.8,92.4,0.3333333333333333,0.3333333333333333,0.4,0.0
987,1,1595.334351063459,1500.0,1.0,5.0,5.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,
988,1,1353.596845755336,1512.9049228960662,0.2,21.2,44.0,0.6,0.6,97.2,0.0,22.444444444444443,36.888888888888886,0.7777777777777778,0.4444444444444444,155.33333333333334,0.2,0.2,0.5555555555555556,0.1111111111111111
989,1,1695.3019573224765,1692.6913971088713,0.0,28.666666666666668,117.77777777777777,4.555555555555555,0.4444444444444444,508.55555555555554,0.0,20.666666666666668,41.0,2.8333333333333335,1.8333333333333333,174.5,0.6666666666666666,0.1111111111111111,0.8333333333333334,0.16666666666666666
990,1,1897.5809453467004,1799.2558204762108,0.6,24.2,37.8,0.6,0.4,84.3,0.0,8.636363636363637,27.181818181818183,0.7272727272727273,1.3636363636363635,81.63636363636364,0.8,0.0,0.8181818181818182,0.18181818181818182
991,1,1661.3503203383561,1577.8475027819143,0.4444444444444444,20.77777777777778,66.88888888888889,1.7777777777777777,2.5555555555555554,122.0,0.0,16.5,24.75,0.0,0.25,11.0,0.5555555555555556,0.2222222222222222,0.5,0.25
992,1,1593.7400179045478,1500.0,0.0,0.0,8.0,0.0,2.0,62.0,,,,,,,1.0,1.0,,
993,1,1500.0,1710.295073409283,,,,,,,0.0,19.0,24.0,1.0,0.0,69.33333333333333,,,0.6666666666666666,0.0
994,1,1664.3798501316192,1457.20697526417,0.4,26.2,50.2,1.8,1.8,228.0,0.16666666666666666,10.5,12.5,0.16666666666666666,0.16666666666666666,5.666666666666667,0.8,0.4,0.5,0.0
995,1,1674.2347411861622,1657.6289159907428,0.6666666666666666,16.0,36.333333333333336,3.6666666666666665,1.0,342.6666666666667,0.25,22.875,35.125,0.625,0.5,58.125,1.0,0.0,0.625,0.375
