,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
352,-0.25,19.166666666666668,36.583333333333336,67.41666666666667,89.91666666666666,2.4166666666666665,4.0,-0.5833333333333334,366.9166666666667,0.08333333333333337,-0.16666666666666669,2
354,0.0,-0.5,-3.5,-3.5,-8.5,-1.0,-4.0,0.0,-160.5,0.5,0.5,1
355,0.0,11.25,10.416666666666664,37.416666666666664,38.08333333333333,0.9166666666666667,-4.833333333333334,0.33333333333333326,68.91666666666666,-0.16666666666666669,-0.25,-1
356,-0.06666666666666667,-1.9333333333333336,-7.466666666666666,-8.466666666666669,-15.266666666666666,0.06666666666666665,0.9333333333333335,1.5333333333333334,18.0,0.1333333333333333,0.19999999999999996,-12
357,0.0,124.6,185.8,120.0,181.4,-1.6,-2.6,-0.2,-169.6,0.0,0.0,-4
358,-0.09090909090909091,-0.8181818181818166,-18.757575757575758,63.121212121212125,51.84848484848486,1.6363636363636362,2.7272727272727275,0.0,349.78787878787875,0.030303030303030276,-0.2121212121212121,-8
361,0.0,27.428571428571427,32.142857142857146,42.0,47.14285714285714,3.7142857142857144,5.0,0.2857142857142857,379.2857142857143,-0.1428571428571429,0.09523809523809523,4
362,0.0,-22.333333333333332,-56.833333333333336,-38.666666666666664,-73.83333333333333,-0.3333333333333333,-2.0,0.16666666666666669,-34.833333333333336,-0.5,-0.16666666666666663,-1
367,0.0,18.0,17.33333333333333,45.55555555555556,45.55555555555555,1.3333333333333335,-1.7777777777777781,0.4444444444444444,183.22222222222223,-0.11111111111111105,0.33333333333333337,0
368,0.6666666666666666,8.333333333333334,23.583333333333332,-3.6666666666666643,10.0,-0.9166666666666666,-2.0,0.0,29.833333333333332,0.25000000000000006,0.16666666666666669,9
369,-0.0625,2.0625,3.25,2.1875,4.125,0.5,1.5625,0.375,-2.375,-0.25,-0.1875,-12
377,1.0,11.0,21.6,66.6,76.6,0.6000000000000001,4.6,7.8,-67.8,0.4,-0.2,-4
379,0.25,8.25,15.5,-35.5,-30.0,0.0,-3.0,0.25,-29.5,-0.25,0.25,0
380,0.5,66.66666666666667,101.83333333333333,72.0,107.66666666666667,-0.6666666666666666,-4.0,-0.3333333333333333,-145.5,0.33333333333333337,0.33333333333333337,-1
382,-0.09090909090909091,23.645454545454548,25.918181818181818,21.06363636363637,22.599999999999994,1.3909090909090907,2.3636363636363633,0.2272727272727273,123.57272727272728,-0.018181818181818188,0.054545454545454564,-1
385,0.6153846153846154,7.3589743589743595,27.294871794871792,-1.064102564102562,19.128205128205124,-1.1794871794871793,-1.9615384615384617,-0.3333333333333333,-100.52564102564104,-0.21794871794871795,-0.3717948717948718,7
386,0.0,25.875,43.875,92.375,116.125,2.5,2.375,0.375,331.875,-0.25,-0.75,7
387,-0.058823529411764705,18.411764705882355,39.85294117647059,38.029411764705884,58.05882352941177,-0.23529411764705882,-0.1470588235294118,-0.11764705882352941,4.205882352941177,0.02941176470588236,0.08823529411764708,-15
388,-0.2,3.1499999999999986,-0.5249999999999986,-11.299999999999997,-14.75,0.35,0.19999999999999996,0.525,108.2,0.15000000000000002,0.09999999999999998,3
389,0.75,26.0,57.0,9.75,39.75,2.25,2.75,-1.0,132.5,0.75,0.5,3
392,1.0,-19.5,-51.0,-45.5,-83.5,-1.5,-4.5,0.0,-214.0,0.0,0.5,-1
395,0.0,2.4,5.2,-1.2000000000000002,-1.1999999999999993,0.4,1.6,2.2,31.4,0.8,0.6,4
396,0.2222222222222222,21.055555555555557,30.055555555555554,41.05555555555556,50.49999999999999,1.2777777777777777,1.6111111111111112,-0.22222222222222227,85.38888888888889,-0.05555555555555547,0.2222222222222222,-3
398,0.40909090909090906,-5.988636363636363,-16.05681818181818,-19.125,-29.43181818181818,-0.25,-0.7272727272727273,0.28409090909090906,-166.6931818181818,-0.06818181818181823,0.20454545454545459,-3
399,0.3166666666666667,18.53333333333333,38.85,-5.2166666666666615,14.099999999999994,-0.8,-1.7,-0.25,-29.266666666666666,0.050000000000000044,-0.3,-2
402,0.0,8.833333333333334,22.0,32.166666666666664,46.33333333333333,0.5,0.5,1.0,-30.333333333333336,0.0,0.0,-1
403,0.16666666666666669,-5.5,-21.5,-23.333333333333336,-42.833333333333336,-2.166666666666667,-4.5,0.5,-179.66666666666666,0.0,0.16666666666666669,3
405,0.0,-8.0,-36.6,48.8,27.599999999999994,5.2,11.2,1.6,348.4,0.19999999999999996,0.6,-4
406,0.6,0.4666666666666668,-1.4666666666666615,-0.06666666666666643,-1.9333333333333371,0.2,-2.9333333333333336,0.4,-79.86666666666667,-0.06666666666666665,0.26666666666666666,2
410,0.0,22.8,33.6,33.6,43.7,1.2000000000000002,-0.5999999999999996,0.5,156.8,-0.19999999999999996,0.4,9
411,-0.5,4.055555555555557,-0.3333333333333357,-8.055555555555557,-12.388888888888886,0.4444444444444445,0.6666666666666666,0.5,112.38888888888889,0.2777777777777778,0.22222222222222227,3
412,0.0,-8.0,-21.5,-27.5,-42.0,-0.5,-5.5,-0.5,57.5,-0.5,-0.5,-1
