,label,elo_diff,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
998,1,129.82063062301745,-0.125,10.024999999999999,8.649999999999999,22.049999999999997,20.125,0.30000000000000004,1.4500000000000002,-0.09999999999999998,28.099999999999994,0.050000000000000044,0.025000000000000022,2
1012,1,230.1592874564169,-0.17857142857142855,14.107142857142858,35.92857142857143,19.69642857142857,41.92857142857143,-0.9464285714285714,-1.875,-0.4821428571428571,19.60714285714286,0.3035714285714286,0.10714285714285715,1
1020,1,-5.748933748108129,0.42857142857142855,8.839285714285715,24.05357142857143,-2.1607142857142847,12.55357142857143,-0.1785714285714286,-2.767857142857143,0.03571428571428581,-67.80357142857143,0.0892857142857143,0.1964285714285714,-1
1027,1,115.8898341652498,0.4603174603174603,-8.968253968253972,-38.66666666666667,-5.19047619047619,-35.19047619047619,3.507936507936508,4.825396825396826,0.0,243.6031746031746,0.2222222222222222,-0.2222222222222222,-2
1030,1,154.17898205902316,0.2857142857142857,14.885714285714284,19.91428571428571,40.02857142857143,48.6,2.4285714285714284,1.942857142857143,1.0,206.82857142857145,0.05714285714285705,-0.4,2
1038,1,-307.7969093173342,0.24615384615384617,23.815384615384616,25.369230769230768,42.676923076923075,45.73846153846154,0.9076923076923078,0.0,0.18461538461538463,127.76923076923077,-0.24615384615384617,-0.07692307692307693,-8
1046,1,222.16378719755016,0.3333333333333333,-0.19658119658119588,-7.153846153846153,-16.102564102564102,-22.957264957264954,0.6153846153846154,0.8974358974358975,-0.03418803418803429,63.92307692307692,0.39316239316239315,0.21367521367521364,-4
1047,1,-133.69090412214928,0.42857142857142855,20.085714285714285,61.17142857142857,50.71428571428571,95.34285714285714,2.2,5.885714285714286,-0.6857142857142856,139.4,-0.4285714285714286,-0.6571428571428573,2
1054,1,42.58320671652473,0.5384615384615384,27.833333333333332,34.35256410256411,48.089743589743584,55.17948717948717,1.762820512820513,0.038461538461538325,0.6538461538461537,242.66666666666669,0.09615384615384615,-0.09615384615384615,1
1056,1,69.60967541766058,0.2,-1.8000000000000007,-14.200000000000003,-24.0,-38.0,0.40000000000000013,0.19999999999999973,0.20000000000000018,-71.00000000000001,0.20000000000000007,0.4,0
1059,1,-90.8859859585823,-0.2222222222222222,-7.777777777777777,-28.72222222222223,17.055555555555557,-1.0,3.2777777777777777,3.7777777777777777,0.2222222222222222,294.55555555555554,-0.05555555555555558,-0.16666666666666666,-3
1063,1,35.44616426648395,0.8,6.324999999999999,-1.5750000000000028,18.35,12.700000000000003,1.425,0.3250000000000002,0.09999999999999998,153.575,0.09999999999999998,0.0,-3
1066,1,68.44112462521639,0.625,7.75,7.125,10.5,10.0,1.625,1.125,0.875,197.5,0.0,-0.25,0
1070,1,108.40567390845354,0.2888888888888889,13.01111111111111,30.055555555555557,10.311111111111114,27.06666666666667,0.15555555555555567,3.8111111111111113,0.011111111111111183,104.57777777777778,0.13333333333333341,-0.3333333333333333,1
1083,1,214.65143681689096,0.8888888888888888,9.533333333333335,-4.400000000000006,32.888888888888886,19.733333333333334,-0.37777777777777777,-0.6888888888888889,0.0,114.28888888888889,0.13333333333333341,0.0,-4
1095,1,68.58141690558705,0.0,0.7619047619047628,1.452380952380949,8.42857142857143,11.023809523809526,2.404761904761905,3.0,-0.9523809523809524,150.38095238095238,0.0714285714285714,0.2857142857142857,1
1097,1,-179.11634546356072,0.0,6.428571428571431,11.285714285714285,20.85714285714286,24.285714285714278,1.5714285714285716,3.142857142857143,0.5714285714285714,193.4285714285714,-0.14285714285714285,0.2857142857142857,0
1101,1,-210.6382869080478,0.0,32.33333333333333,146.0,25.999999999999996,135.83333333333331,-0.5,-1.6666666666666667,-1.3333333333333333,-34.66666666666666,-0.3333333333333333,-0.16666666666666666,0
1102,1,290.5867236456709,0.8333333333333334,7.875,-18.541666666666664,10.791666666666668,-14.833333333333336,-0.75,-2.7916666666666665,-0.125,-63.45833333333333,0.16666666666666663,-0.25,2
1104,1,41.73192614585946,0.041666666666666685,23.166666666666664,32.25,35.08333333333333,43.083333333333336,0.25,0.04166666666666674,0.20833333333333334,90.33333333333333,0.08333333333333337,0.0,2
1108,1,82.6662355736753,0.5714285714285714,19.666666666666664,42.3015873015873,9.904761904761902,32.238095238095234,-0.7777777777777778,-3.5238095238095237,-1.1111111111111112,-108.7936507936508,0.15873015873015872,-0.3333333333333333,-2
1113,1,-60.42370388569816,1.0,24.0,-4.458333333333329,35.70833333333333,6.5,0.75,0.45833333333333326,0.16666666666666674,277.0833333333333,0.0,0.16666666666666666,-2
1115,1,-59.90460034388457,-0.1,18.900000000000002,10.0,26.0,20.299999999999997,5.0,7.199999999999999,-1.1,346.7,0.10000000000000009,-0.1,-5
1119,1,57.38337436472875,-0.09090909090909091,7.036363636363635,2.268181818181823,-3.922727272727272,-9.0,1.6545454545454548,-1.790909090909091,0.11363636363636365,239.07272727272726,0.20454545454545459,0.1090909090909091,9
1120,1,310.233241685449,0.4761904761904763,32.333333333333336,51.833333333333336,19.80952380952381,40.07142857142857,0.7857142857142857,0.5714285714285714,0.14285714285714285,148.64285714285714,0.4523809523809524,0.07142857142857142,8
1124,1,202.8712441976304,0.3,14.833333333333332,43.23333333333334,24.1,53.53333333333334,-0.7333333333333333,-4.0,-0.19999999999999996,-22.566666666666663,0.19999999999999996,0.2,4
1137,1,-75.34104331389403,0.1,0.0,0.6666666666666643,7.100000000000001,10.233333333333341,0.10000000000000009,-1.0666666666666669,0.43333333333333335,-29.0,-0.2333333333333334,-0.36666666666666664,4
1140,1,-114.8739058530025,0.7142857142857143,0.7321428571428577,-3.5892857142857153,-20.625,-25.553571428571427,-0.2142857142857142,-1.0892857142857142,-0.10714285714285715,-22.32142857142857,-0.0535714285714286,-0.25,-1
1141,1,189.99794500827943,0.23863636363636365,0.4772727272727266,-8.375,-14.363636363636367,-24.102272727272734,-0.4545454545454546,-1.3295454545454541,0.40909090909090906,35.625,0.19318181818181823,-0.125,3
1144,1,121.68006146966559,0.5,32.06493506493507,30.363636363636367,74.98701298701297,74.84415584415585,1.9285714285714284,-0.4870129870129869,0.6168831168831168,242.9090909090909,0.03896103896103886,0.14285714285714285,3
1145,1,-209.38314817138507,0.20833333333333331,14.416666666666664,9.833333333333329,27.083333333333336,22.5,0.375,0.375,0.04166666666666663,121.70833333333334,-0.20833333333333337,0.0,-2
1151,1,-103.38239732787815,0.0,-5.588888888888889,-28.56666666666667,-4.288888888888884,-25.355555555555554,1.866666666666667,2.8777777777777773,0.24444444444444446,-16.333333333333336,0.0444444444444444,0.07777777777777778,1
1154,1,331.18125311423205,0.7888888888888889,-1.7888888888888843,-59.677777777777784,-1.0777777777777757,-58.922222222222224,-0.47777777777777775,-1.3666666666666667,0.3333333333333333,8.700000000000003,0.30000000000000004,0.0222222222222222,-1
1155,1,-60.847230458688955,0.38461538461538464,22.769230769230766,24.244755244755243,47.55944055944056,50.07692307692308,0.6993006993006992,-0.48951048951048937,0.04195804195804198,105.26573426573427,-0.12587412587412594,-0.22377622377622375,2
1157,1,76.6510254800055,0.125,2.0,-1.75,4.75,-0.625,0.625,0.625,-0.375,103.625,0.125,0.125,0
1162,1,20.194158693699364,0.0,3.0,6.285714285714285,5.595238095238095,8.80952380952381,1.0476190476190477,1.7857142857142856,1.380952380952381,-10.76190476190476,-0.2142857142857143,0.19047619047619047,-1
1163,1,-132.59603875355447,-0.01785714285714285,1.6785714285714288,-13.42857142857143,6.035714285714285,-8.017857142857146,0.25,-3.0892857142857144,-0.42857142857142855,-11.125,-0.2142857142857143,-0.42857142857142855,1
1164,1,175.0280911279492,0.1,-12.900000000000002,-50.2,-11.099999999999998,-48.400000000000006,-0.29999999999999993,-0.19999999999999996,0.4,7.0,0.20000000000000007,0.0,-5
1171,1,20.861956391288686,0.7777777777777778,26.044444444444444,45.42222222222222,20.933333333333337,41.022222222222226,2.1333333333333333,2.6222222222222222,0.0888888888888888,150.26666666666668,-0.2222222222222222,-0.7777777777777778,4
1182,1,23.53124649720303,0.2571428571428572,-3.1714285714285744,-1.6285714285714334,-3.7714285714285722,-5.5428571428571445,1.9714285714285713,-0.14285714285714324,-0.2857142857142858,217.0857142857143,0.1428571428571429,-0.14285714285714285,-2
