,event,date,fight_name,f1,f2,winner,method,fight_length,f1_kd,f1_sig_str_landed,f1_sig_str_att,f1_str_landed,f1_str_att,f1_td_comp,f1_td_att,f1_sub_att,f1_ctrl_time,f2_kd,f2_sig_str_landed,f2_sig_str_att,f2_str_landed,f2_str_att,f2_td_comp,f2_td_att,f2_sub_att,f2_ctrl_time,f1_avg_kd,f1_avg_sig_str_landed,f1_avg_sig_str_att,f1_avg_str_landed,f1_avg_str_att,f1_avg_td_comp,f1_avg_td_att,f1_avg_sub_att,f1_avg_ctrl_time,f2_avg_kd,f2_avg_sig_str_landed,f2_avg_sig_str_att,f2_avg_str_landed,f2_avg_str_att,f2_avg_td_comp,f2_avg_td_att,f2_avg_sub_att,f2_avg_ctrl_time,f1_win_rate,f1_finish_rate,f1_total_fights,f2_win_rate,f2_finish_rate,f2_total_fights,f1_elo,f2_elo
33,UFC 5: The Return of the Beast,1995-04-07,Jon Hess vs Andy Anderson,Jon Hess,Andy Anderson,Jon Hess,KO/TKO,83,0.0,17.0,28.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
34,UFC 5: The Return of the Beast,1995-04-07,Todd Medina vs Larry Cureton,Todd Medina,Larry Cureton,Todd Medina,Submission,175,0.0,4.0,4.0,64.0,66.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,15.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
35,UFC 5: The Return of the Beast,1995-04-07,Dan Severn vs Dave Beneteau,Dan Severn,Dave Beneteau,Dan Severn,Submission,181,0.0,2.0,3.0,11.0,13.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.3333333333333335,9.0,14.333333333333334,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,3,1.0,1.0,1,1519.818119331365,1516.0
36,UFC 5: The Return of the Beast,1995-04-07,Oleg Taktarov vs Ernie Verdicia,Oleg Taktarov,Ernie Verdicia,Oleg Taktarov,Submission,143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
37,UFC 5: The Return of the Beast,1995-04-07,Dan Severn vs Joe Charles,Dan Severn,Joe Charles,Dan Severn,Submission,98,0.0,2.0,4.0,12.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,9.5,14.0,1.25,2.0,0.75,0.0,,,,,,,,,,0.75,0.75,4,1.0,1.0,1,1535.642295516134,1516.0
38,UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau vs Todd Medina,Dave Beneteau,Todd Medina,Dave Beneteau,KO/TKO,132,0.0,8.0,13.0,22.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,8.5,14.0,0.5,0.5,0.0,0.0,0.0,1.0,2.0,15.0,16.0,0.0,0.0,0.0,0.0,0.5,0.5,2,1.0,1.0,1,1500.175823815231,1516.0
39,UFC 5: The Return of the Beast,1995-04-07,Dan Severn vs Oleg Taktarov,Dan Severn,Oleg Taktarov,Dan Severn,TKO - Doctor's Stoppage,261,0.0,9.0,17.0,38.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.8,10.0,15.0,1.2,1.8,0.8,0.0,0.0,2.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0,0.8,0.8,5,1.0,1.0,1,1550.738696872401,1516.0
40,UFC 6: Clash of the Titans,1995-07-14,Joel Sutton vs Jack McGlaughlin,Joel Sutton,Jack McGlaughlin,Joel Sutton,KO/TKO,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
41,UFC 6: Clash of the Titans,1995-07-14,Anthony Macias vs He-Man Gipson,Anthony Macias,He-Man Gipson,Anthony Macias,KO/TKO,186,,,,,,,,,,,,,,,,,,,0.0,8.0,9.0,12.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1,,,0,1483.4210842512007,1500.0
42,UFC 6: Clash of the Titans,1995-07-14,David Abbott vs John Matua,David Abbott,John Matua,David Abbott,KO/TKO,20,2.0,7.0,12.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
43,UFC 6: Clash of the Titans,1995-07-14,Patrick Smith vs Rudyard Moncayo,Patrick Smith,Rudyard Moncayo,Patrick Smith,Submission,68,1.0,6.0,8.0,10.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,6.75,10.25,0.0,0.25,0.5,0.0,,,,,,,,,,0.75,0.75,4,,,0,1529.9278515954977,1500.0
44,UFC 6: Clash of the Titans,1995-07-14,Paul Varelans vs Cal Worsham,Paul Varelans,Cal Worsham,Paul Varelans,KO/TKO,62,1.0,8.0,22.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,11.0,35.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
45,UFC 6: Clash of the Titans,1995-07-14,David Abbott vs Paul Varelans,David Abbott,Paul Varelans,David Abbott,KO/TKO,113,0.0,14.0,21.0,18.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,14.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,11.0,35.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,1.0,1,1516.0,1516.0
46,UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov vs Anthony Macias,Oleg Taktarov,Anthony Macias,Oleg Taktarov,Submission,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,8.0,9.0,12.0,14.0,0.0,0.0,0.0,0.0,0.5,0.5,2,0.5,0.5,2,1501.5944662491033,1500.1839925760573
47,UFC 6: Clash of the Titans,1995-07-14,Ken Shamrock vs Dan Severn,Ken Shamrock,Dan Severn,Ken Shamrock,Submission,134,0.0,2.0,5.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,6.5,11.5,13.5,1.0,1.5,0.5,0.0,0.0,2.6666666666666665,4.166666666666667,7.833333333333333,12.0,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,1.0,2,0.8333333333333334,0.6666666666666666,6,1531.263693206478,1565.1442306232977
48,UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov vs David Abbott,Oleg Taktarov,David Abbott,Oleg Taktarov,Submission,465,0.0,4.0,10.0,48.0,59.0,0.0,3.0,4.0,0.0,0.0,17.0,45.0,39.0,71.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,3,1.0,1.0,2,1517.5295118928664,1532.0
49,UFC 6: Clash of the Titans,1995-07-14,Oleg Taktarov vs Dave Beneteau,Oleg Taktarov,Dave Beneteau,Oleg Taktarov,Submission,57,0.0,0.0,2.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,14.0,5.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,12.0,14.75,0.0,1.0,1.5,0.0,0.0,0.6666666666666666,2.0,1.6666666666666667,3.3333333333333335,0.0,0.0,0.0,0.0,0.75,0.75,4,0.6666666666666666,0.6666666666666666,3,1534.1955174407274,1516.9040505828607
50,UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas vs Paul Varelans,Marco Ruas,Paul Varelans,Marco Ruas,KO/TKO,197,1.0,33.0,59.0,54.0,84.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,36.0,63.0,0.0,0.0,1.0,0.0,,,,,,,,,,0.0,5.0,17.5,11.5,24.5,0.0,0.5,0.0,0.0,,,0,0.5,0.5,2,1500.0,1500.0
51,UFC 7: The Brawl in Buffalo,1995-09-08,Marco Ruas vs Remco Pardoel,Marco Ruas,Remco Pardoel,Marco Ruas,Submission,147,0.0,4.0,7.0,11.0,18.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,7.0,1.0,1.0,2.0,0.0,1.0,33.0,59.0,54.0,84.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.6666666666666667,4.666666666666667,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.6666666666666666,0.6666666666666666,3,1516.0,1516.7624343979514
52,UFC 7: The Brawl in Buffalo,1995-09-08,Joel Sutton vs Geza Kalman,Joel Sutton,Geza Kalman,Joel Sutton,TKO - Doctor's Stoppage,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,,,0,1516.0,1500.0
53,UFC 7: The Brawl in Buffalo,1995-09-08,Onassis Parungao vs Francesco Maturi,Onassis Parungao,Francesco Maturi,Onassis Parungao,KO/TKO,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
54,UFC 7: The Brawl in Buffalo,1995-09-08,Scott Bessac vs David Hood,Scott Bessac,David Hood,Scott Bessac,Submission,31,0.0,1.0,5.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,,,0,1500.0,1500.0
55,UFC 7: The Brawl in Buffalo,1995-09-08,Paul Varelans vs Gerry Harris,Paul Varelans,Gerry Harris,Paul Varelans,KO/TKO,65,0.0,4.0,4.0,35.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.333333333333333,18.0,20.0,34.666666666666664,0.0,0.0,0.3333333333333333,0.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,3,,,0,1484.0,1500.0
56,UFC 7: The Brawl in Buffalo,1995-09-08,Remco Pardoel vs Ryan Parker,Remco Pardoel,Ryan Parker,Remco Pardoel,Submission,185,0.0,0.0,0.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,3.25,4.25,7.75,9.0,0.75,0.75,0.75,0.0,,,,,,,,,,0.5,0.5,4,,,0,1500.7273230527308,1500.0
